time_s,cart_x_m,pole_angle_rad,cart_velocity_mps,pole_angular_velocity,control_force
0.01,-0.000441,0.241479,-0.044081,0.147933,-4.32
0.02,-0.001361,0.244518,-0.091992,0.303881,-4.753407
0.03,-0.002802,0.249208,-0.144161,0.469028,-5.234262
0.04,-0.004813,0.255655,-0.201056,0.644633,-5.767316
0.05,-0.007445,0.263975,-0.263183,0.832035,-6.357734
0.06,-0.010756,0.274301,-0.331086,1.032639,-7.0111
0.07,-0.014809,0.286781,-0.405348,1.247913,-7.733412
0.08,-0.019627,0.301472,-0.481831,1.469165,-8.0
0.09,-0.025208,0.318387,-0.558105,1.691455,-8.0
0.1,-0.03155,0.337537,-0.634121,1.914978,-8.0
0.11,-0.038648,0.358935,-0.709817,2.139875,-8.0
0.12,-0.046499,0.382598,-0.785113,2.366226,-8.0
0.13,-0.055098,0.408538,-0.859909,2.594047,-8.0
0.14,-0.064439,0.436771,-0.934088,2.823285,-8.0
0.15,-0.074514,0.467309,-1.00751,3.053815,-8.0
0.16,-0.085314,0.500163,-1.080014,3.285441,-8.0
0.17,-0.096828,0.535342,-1.151416,3.5179,-8.0
0.18,-0.109043,0.572851,-1.221515,3.750862,-8.0
0.19,-0.121944,0.612691,-1.290089,3.983946,-8.0
0.2,-0.135513,0.654858,-1.356899,4.216722,-8.0
0.21,-0.14973,0.699345,-1.421697,4.448736,-8.0
0.22,-0.164573,0.74614,-1.484223,4.679518,-8.0
0.23,-0.180015,0.795226,-1.544216,4.908604,-8.0
0.24,-0.196029,0.846582,-1.601419,5.135558,-8.0
0.25,-0.212585,0.900182,-1.655581,5.359983,-8.0
0.26,-0.229649,0.955997,-1.706466,5.581548,-8.0
0.27,-0.247188,1.013997,-1.753859,5.79999,-8.0
0.28,-0.265164,1.074148,-1.79757,6.015134,-8.0
0.29,-0.283538,1.136417,-1.837438,6.226887,-8.0
0.3,-0.302271,1.20077,-1.873339,6.435244,-8.0
0.31,-0.321323,1.267173,-1.905185,6.640273,-8.0
0.32,-0.340653,1.335594,-1.93293,6.842104,-8.0
0.33,-0.360218,1.406003,-1.956574,7.040907,-8.0
0.34,-0.37998,1.478371,-1.976166,7.236862,-8.0
0.35,-0.399898,1.552672,-1.991808,7.430122,-8.0
0.36,-0.419935,1.62888,-2.003662,7.620774,-8.0
0.37,-0.440054,1.706968,-2.011957,7.808784,-8.0
0.38,-0.460224,1.786907,-2.017,7.99394,-8.0
0.39,-0.480416,1.868665,-2.019185,8.175777,-8.0
0.4,-0.497974,1.832003,-1.755782,-3.666271,-8.0
0.41,-0.51596,1.797356,-1.798647,-3.464627,-8.0
0.42,-0.534391,1.764761,-1.843076,-3.259503,-8.0
0.43,-0.553282,1.734249,-1.889048,-3.051191,-8.0
0.44,-0.572647,1.70585,-1.936524,-2.839967,-8.0
0.45,-0.592501,1.679589,-1.985446,-2.626102,-8.0
0.46,-0.612859,1.65549,-2.035744,-2.409858,-8.0
0.47,-0.633732,1.633575,-2.087335,-2.1915,-8.0
0.48,-0.655133,1.613862,-2.140123,-1.971293,-8.0
0.49,-0.677073,1.596367,-2.194006,-1.749504,-8.0
0.5,-0.699562,1.581103,-2.248874,-1.526404,-8.0
0.51,-0.722608,1.56808,-2.30461,-1.302269,-8.0
0.52,-0.746219,1.557307,-2.361092,-1.077376,-8.0
0.53,-0.770401,1.548787,-2.418197,-0.852008,-8.0
0.54,-0.795159,1.542522,-2.475796,-0.626446,-8.0
0.55,-0.820497,1.538512,-2.53376,-0.400976,-8.0
0.56,-0.846416,1.536753,-2.59196,-0.175883,-8.0
0.57,-0.872919,1.537239,-2.650266,0.04855,-8.0
0.58,-0.900004,1.539959,-2.70855,0.272038,-8.0
0.59,-0.927671,1.544902,-2.766685,0.494302,-8.0
0.6,-0.955917,1.552053,-2.824547,0.715064,-8.0
0.61,-0.984737,1.561394,-2.882013,0.934051,-8.0
0.62,-1.014127,1.572903,-2.938967,1.150994,-8.0
0.63,-1.04408,1.58656,-2.995297,1.36563,-8.0
0.64,-1.074589,1.602337,-3.050896,1.5777,-8.0
0.65,-1.105645,1.620206,-3.105662,1.786952,-8.0
0.66,-1.13724,1.640138,-3.159504,1.993137,-8.0
0.67,-1.169364,1.662098,-3.212336,2.196012,-8.0
0.68,-1.202004,1.686051,-3.264083,2.395337,-8.0
0.69,-1.235151,1.71196,-3.314681,2.590874,-8.0
0.7,-1.268792,1.739784,-3.364077,2.782385,-8.0
0.71,-1.302914,1.76948,-3.41223,2.969631,-8.0
0.72,-1.337505,1.801004,-3.459116,3.152364,-8.0
0.73,-1.372553,1.834307,-3.504725,3.330328,-8.0
0.74,-1.405963,1.785957,-3.341051,-4.834961,-8.0
0.75,-1.439715,1.739779,-3.375162,-4.617867,-8.0
0.76,-1.47383,1.695808,-3.411559,-4.397094,-8.0
0.77,-1.508333,1.654079,-3.450254,-4.172877,-8.0
0.78,-1.543245,1.614625,-3.491229,-3.945422,-8.0
0.79,-1.57859,1.577476,-3.534439,-3.714922,-8.0
0.8,-1.614388,1.54266,-3.579818,-3.481566,-8.0
0.81,-1.650661,1.510204,-3.627278,-3.245546,-8.0
0.82,-1.687428,1.480134,-3.676716,-3.007059,-8.0
0.83,-1.724708,1.452471,-3.728015,-2.766317,-8.0
0.84,-1.762518,1.427235,-3.781045,-2.52354,-8.0
0.85,-1.800875,1.404446,-3.835669,-2.278964,-8.0
0.86,-1.839792,1.384117,-3.891741,-2.032834,-8.0
0.87,-1.879284,1.366263,-3.949108,-1.785408,-8.0
0.88,-1.91936,1.350894,-4.007614,-1.536951,-8.0
0.89,-1.960031,1.338016,-4.067101,-1.287737,-8.0
0.9,-2.001305,1.327636,-4.127408,-1.038044,-8.0
0.91,-2.043188,1.319754,-4.188374,-0.788155,-8.0
0.92,-2.085687,1.314371,-4.249837,-0.538353,-8.0
0.93,-2.128803,1.311482,-4.311635,-0.288924,-8.0
0.94,-2.172539,1.31108,-4.373609,-0.04015,-8.0
0.95,-2.216895,1.313157,-4.435602,0.207687,-8.0
0.96,-2.26187,1.3177,-4.497455,0.454309,-8.0
0.97,-2.30746,1.324694,-4.559016,0.699441,-8.0
0.98,-2.353661,1.334123,-4.620134,0.942812,-8.0
0.99,-2.400468,1.345964,-4.680659,1.184159,-8.0
1.0,-2.447872,1.360196,-4.740449,1.423224,-8.0
1.01,-2.495866,1.376794,-4.799361,1.659754,-8.0
1.02,-2.544439,1.395729,-4.857261,1.893507,-8.0
1.03,-2.593579,1.416971,-4.91402,2.124247,-8.0
1.04,-2.643274,1.440489,-4.969514,2.35175,-8.0
1.05,-2.69351,1.466247,-5.023629,2.575797,-8.0
1.06,-2.744273,1.494209,-5.076258,2.796183,-8.0
1.07,-2.795546,1.524336,-5.127306,3.012708,-8.0
1.08,-2.847313,1.556588,-5.17669,3.225181,-8.0
1.09,-2.899556,1.590922,-5.224339,3.433418,-8.0
1.1,-2.952258,1.627294,-5.270199,3.637235,-8.0
1.11,-3.005401,1.665659,-5.314232,3.836447,-8.0
1.12,-3.058965,1.705967,-5.356419,4.030863,-8.0
1.13,-3.112932,1.74817,-5.396764,4.220277,-8.0
1.14,-3.167285,1.792215,-5.435293,4.404459,-8.0
1.15,-3.222006,1.838046,-5.472056,4.58315,-8.0
1.16,-3.274102,1.764707,-5.209571,-7.333935,-8.0
1.17,-3.325446,1.694133,-5.134459,-7.0574,3.119739
1.18,-3.376061,1.626215,-5.06151,-6.791809,3.448971
1.19,-3.425968,1.560842,-4.990647,-6.537227,3.767859
1.2,-3.475185,1.497906,-4.921716,-6.293634,4.078498
1.21,-3.52373,1.437296,-4.854517,-6.060983,4.382599
1.22,-3.571618,1.378904,-4.78881,-5.839233,4.681693
1.23,-3.618861,1.32262,-4.724327,-5.628375,4.97727
1.24,-3.665469,1.268336,-4.660786,-5.428446,5.270876
1.25,-3.711448,1.21594,-4.597884,-5.239539,5.56418
1.26,-3.756801,1.165322,-4.535309,-5.061807,5.859017
1.27,-3.801529,1.116368,-4.472738,-4.895471,6.157428
1.28,-3.845627,1.068959,-4.409836,-4.740817,6.461679
1.29,-3.88909,1.022977,-4.346259,-4.598208,6.774292
1.3,-3.931906,0.978296,-4.281645,-4.468079,7.09806
1.31,-3.974062,0.934787,-4.215622,-4.35095,7.43608
1.32,-4.01554,0.892313,-4.147797,-4.247429,7.791775
1.33,-4.056331,0.850749,-4.079104,-4.156328,8.0
1.34,-4.096441,0.809995,-4.011019,-4.075445,8.0
1.35,-4.135875,0.769947,-3.943391,-4.004788,8.0
1.36,-4.174636,0.730503,-3.876082,-3.944385,8.0
1.37,-4.212726,0.69156,-3.808963,-3.894284,8.0
1.38,-4.250145,0.653015,-3.741916,-3.854544,8.0
1.39,-4.286893,0.614763,-3.674834,-3.82524,8.0
1.4,-4.322969,0.576698,-3.607619,-3.806457,8.0
1.41,-4.358371,0.538715,-3.540182,-3.798287,8.0
1.42,-4.393096,0.500707,-3.472445,-3.80083,8.0
1.43,-4.427139,0.462565,-3.404338,-3.814186,8.0
1.44,-4.460497,0.42418,-3.335801,-3.838458,8.0
1.45,-4.493165,0.385443,-3.266787,-3.873739,8.0
1.46,-4.525138,0.346242,-3.197259,-3.920116,8.0
1.47,-4.55641,0.306465,-3.127191,-3.977657,8.0
1.48,-4.586975,0.266001,-3.056576,-4.046406,8.0
1.49,-4.616829,0.224737,-2.98542,-4.126373,8.0
1.5,-4.645967,0.182562,-2.91375,-4.217525,8.0
1.51,-4.674383,0.139364,-2.841613,-4.319773,8.0
1.52,-4.702074,0.095035,-2.769084,-4.432962,8.0
1.53,-4.729037,0.049466,-2.696264,-4.556854,8.0
1.54,-4.755269,0.002555,-2.623286,-4.69112,8.0
1.55,-4.780773,-0.045798,-2.550317,-4.835324,8.0
1.56,-4.805548,-0.095687,-2.477564,-4.988917,8.0
1.57,-4.829601,-0.1472,-2.405269,-5.151229,8.0
1.58,-4.852938,-0.200414,-2.333717,-5.32147,8.0
1.59,-4.87557,-0.255402,-2.263229,-5.498734,8.0
1.6,-4.897512,-0.312222,-2.194164,-5.682017,8.0
1.61,-4.918781,-0.370924,-2.126908,-5.870238,8.0
1.62,-4.9394,-0.431547,-2.061871,-6.062269,8.0
1.63,-4.959395,-0.494117,-1.999478,-6.256974,8.0
1.64,-4.978796,-0.558649,-1.940153,-6.453257,8.0
1.65,-4.997639,-0.62515,-1.884312,-6.6501,8.0
1.66,-5.015963,-0.693616,-1.832347,-6.846611,8.0
1.67,-5.033809,-0.764037,-1.784618,-7.042061,8.0
1.68,-5.051223,-0.836396,-1.741442,-7.235909,8.0
1.69,-5.068254,-0.910674,-1.703082,-7.427818,8.0
1.7,-5.084952,-0.986851,-1.669746,-7.617661,8.0
1.71,-5.101367,-1.064906,-1.64158,-7.805504,8.0
1.72,-5.117554,-1.144822,-1.61867,-7.991583,8.0
1.73,-5.133564,-1.226584,-1.601035,-8.176273,8.0
1.74,-5.149451,-1.310185,-1.588634,-8.360035,8.0
1.75,-5.165264,-1.395618,-1.581357,-8.543369,8.0
1.76,-5.181055,-1.482886,-1.579028,-8.726748,8.0
1.77,-5.196869,-1.571991,-1.581393,-8.910545,8.0
1.78,-5.21275,-1.662941,-1.588111,-9.094948,8.0
1.79,-5.228737,-1.755739,-1.59874,-9.279864,8.0
1.8,-5.244864,-1.850387,-1.612714,-9.464803,8.0
1.81,-5.248456,-1.825499,-0.359133,2.488879,8.0
1.82,-5.251544,-1.802548,-0.308856,2.295076,8.0
1.83,-5.25412,-1.78156,-0.257562,2.09884,8.0
1.84,-5.256173,-1.762555,-0.205307,1.900465,8.0
1.85,-5.257694,-1.745552,-0.152161,1.700241,8.0
1.86,-5.258676,-1.730568,-0.098198,1.498454,8.0
1.87,-5.259111,-1.717614,-0.043503,1.295391,8.0
1.88,-5.258993,-1.706701,0.011835,1.091336,8.0
1.89,-5.258316,-1.697835,0.067723,0.886575,8.0
1.9,-5.257075,-1.691021,0.124061,0.681394,8.0
1.91,-5.255268,-1.68626,0.18075,0.476078,8.0
1.92,-5.252891,-1.683551,0.237687,0.27091,8.0
1.93,-5.249943,-1.682889,0.294769,0.066176,8.0
1.94,-5.246424,-1.684268,0.351893,-0.137844,8.0
1.95,-5.242335,-1.687676,0.408957,-0.340867,8.0
1.96,-5.237676,-1.693103,0.465861,-0.542615,8.0
1.97,-5.232451,-1.700531,0.522507,-0.742812,8.0
1.98,-5.226663,-1.709943,0.578799,-0.941186,8.0
1.99,-5.220317,-1.721317,0.63465,-1.137465,8.0
2.0,-5.213417,-1.734631,0.689972,-1.331384,8.0
2.01,-5.20597,-1.749858,0.744687,-1.522676,8.0
2.02,-5.197983,-1.766969,0.798724,-1.711081,8.0
2.03,-5.189463,-1.785932,0.852016,-1.896337,8.0
2.04,-5.180417,-1.806714,0.904508,-2.078184,8.0
2.05,-5.170856,-1.829277,0.956153,-2.25636,8.0
2.06,-5.161808,-1.813375,0.904794,1.590289,8.0
2.07,-5.152232,-1.799381,0.957553,1.399378,8.0
2.08,-5.142123,-1.787309,1.010937,1.207211,8.0
2.09,-5.131474,-1.777168,1.06487,1.014073,8.0
2.1,-5.120282,-1.768965,1.119272,0.820247,8.0
2.11,-5.108541,-1.762705,1.174057,0.626013,8.0
2.12,-5.09625,-1.758389,1.229141,0.431651,8.0
2.13,-5.083405,-1.756014,1.284433,0.237439,8.0
2.14,-5.070007,-1.755578,1.339844,0.043655,8.0
2.15,-5.056054,-1.757072,1.395286,-0.149425,8.0
2.16,-5.041547,-1.760487,1.450669,-0.341527,8.0
2.17,-5.026488,-1.765811,1.505908,-0.53238,8.0
2.18,-5.010879,-1.773028,1.560916,-0.721712,8.0
2.19,-4.994723,-1.782121,1.615614,-0.909256,8.0
2.2,-4.978024,-1.793068,1.669924,-1.094746,8.0
2.21,-4.960786,-1.805848,1.723775,-1.277918,8.0
2.22,-4.943015,-1.820433,1.777099,-1.458509,8.0
2.23,-4.925782,-1.796131,1.723322,2.430177,8.0
2.24,-4.908052,-1.773815,1.77294,2.231537,8.0
2.25,-4.889816,-1.753509,1.823597,2.030684,8.0
2.26,-4.871064,-1.73523,1.875224,1.827904,8.0
2.27,-4.851787,-1.718995,1.927744,1.623476,8.0
2.28,-4.831976,-1.704818,1.981072,1.417681,8.0
2.29,-4.811625,-1.69271,2.035118,1.210798,8.0
2.3,-4.790727,-1.682679,2.089785,1.003107,8.0
2.31,-4.769277,-1.67473,2.144971,0.794887,8.0
2.32,-4.747272,-1.668866,2.200575,0.58642,8.0
2.33,-4.724707,-1.665086,2.256489,0.377985,8.0
2.34,-4.701581,-1.663387,2.312607,0.169862,8.0
2.35,-4.677892,-1.663764,2.368821,-0.037669,8.0
2.36,-4.653642,-1.666207,2.425026,-0.244331,8.0
2.37,-4.628831,-1.670706,2.481115,-0.449848,8.0
2.38,-4.603461,-1.677245,2.536986,-0.653949,8.0
2.39,-4.577536,-1.685809,2.592538,-0.856361,8.0
2.4,-4.551059,-1.696377,2.647677,-1.056819,8.0
2.41,-4.524036,-1.708928,2.702309,-1.255057,8.0
2.42,-4.496472,-1.723436,2.756349,-1.450816,8.0
2.43,-4.468375,-1.739874,2.809717,-1.643837,8.0
2.44,-4.439752,-1.758213,2.862342,-1.833865,8.0
2.45,-4.41061,-1.778419,2.914158,-2.020644,8.0
2.46,-4.380959,-1.800459,2.96511,-2.20392,8.0
2.47,-4.350808,-1.824293,3.015154,-2.383437,8.0
2.48,-4.321869,-1.783937,2.893814,4.035588,8.0
2.49,-4.292528,-1.745694,2.934157,3.824342,8.0
2.5,-4.262764,-1.709597,2.97637,3.60965,8.0
2.51,-4.23256,-1.675679,3.020426,3.39177,8.0
2.52,-4.201897,-1.64397,3.06628,3.170946,8.0
2.53,-4.170758,-1.614496,3.113868,2.947416,8.0
2.54,-4.139127,-1.587282,3.163108,2.721416,8.0
2.55,-4.106988,-1.56235,3.213906,2.493188,8.0
2.56,-4.074327,-1.53972,3.266156,2.262975,8.0
2.57,-4.041129,-1.51941,3.319743,2.031028,8.0
2.58,-4.007384,-1.501434,3.374541,1.797605,8.0
2.59,-3.97308,-1.485804,3.430422,1.562972,8.0
2.6,-3.938207,-1.47253,3.487249,1.327398,8.0
